K,r,d,random total_mean,random total_std,random pos_mean,random pos_std,historic TB rates total_mean,historic TB rates total_std,historic TB rates pos_mean,historic TB rates pos_std,exp3 total_mean,exp3 total_std,exp3 pos_mean,exp3 pos_std,LinUCB total_mean,LinUCB total_std,LinUCB pos_mean,LinUCB pos_std
1,1,0.23,15419,363,103,11,15048,373,106,11,15086,243,112,10,14278,488,144,25
1,1,0.33,14739,364,91,10,14346,371,94,10,14340,242,97,10,13558,512,114,18
1,1,0.43,14145,364,83,9,13741,366,84,10,13670,258,86,9,12853,563,96,14
1,2,0.23,16460,376,119,12,16102,385,123,12,16250,243,131,11,15677,382,189,35
1,2,0.33,16035,375,111,11,15661,376,114,12,15757,256,120,11,15077,440,162,31
1,2,0.43,15640,353,103,11,15254,387,106,10,15304,261,112,10,14554,457,144,24
1,3,0.23,16859,367,126,13,16503,381,131,13,16693,243,141,12,16275,353,213,39
1,3,0.33,16526,356,118,12,16194,372,122,12,16341,246,132,11,15798,387,188,35
1,3,0.43,16241,369,112,11,15878,384,115,11,15998,256,123,11,15357,386,170,32
1,4,0.23,17063,363,130,12,16724,371,135,13,16950,244,146,13,16570,347,225,40
1,4,0.33,16799,366,123,12,16461,392,128,12,16652,244,137,12,16214,362,204,38
1,4,0.43,16572,376,117,12,16224,371,123,12,16370,244,130,11,15844,376,189,35
1,5,0.23,17192,374,132,13,16856,374,138,13,17099,241,150,13,16813,351,232,43
1,5,0.33,16983,376,126,13,16648,381,132,12,16851,234,142,12,16472,381,211,39
1,5,0.43,16776,366,121,12,16449,381,126,12,16630,247,135,12,16185,350,203,37
2,1,0.23,30857,507,208,16,30082,531,213,16,28196,880,255,20,27183,840,356,47
2,1,0.33,29470,509,183,14,28695,529,187,14,26446,932,212,16,25065,835,288,37
2,1,0.43,28241,507,166,14,27437,519,169,13,25010,955,183,15,23056,875,239,29
2,2,0.23,32924,493,238,17,32205,552,247,18,30958,786,331,28,30466,859,475,56
2,2,0.33,32037,501,220,16,31312,510,227,16,29743,809,287,23,29062,831,408,52
2,2,0.43,31235,516,205,15,30477,518,213,16,28618,877,257,21,27795,809,359,46
2,3,0.23,33675,543,252,18,33035,536,261,18,32209,710,367,31,31976,818,526,62
2,3,0.33,33042,515,236,17,32353,518,244,17,31190,740,332,28,30806,853,471,56
2,3,0.43,32476,514,225,16,31750,518,233,17,30250,818,303,25,29803,828,432,49
2,4,0.23,34078,528,259,18,33441,548,269,18,32902,680,388,34,32822,897,551,68
2,4,0.33,33610,535,246,18,32916,520,256,18,32053,739,356,31,31895,821,512,59
2,4,0.43,33140,526,234,17,32442,519,243,17,31292,761,330,29,30930,861,475,56
2,5,0.23,34320,516,264,19,33718,526,274,19,33337,696,404,35,33382,893,573,64
2,5,0.33,33934,528,252,17,33279,524,261,18,32629,664,373,33,32575,921,533,62
2,5,0.43,33551,525,242,17,32883,512,252,17,32016,749,351,31,31753,828,502,58
3,1,0.23,46209,600,310,19,45107,620,320,19,40453,1289,424,32,38711,1474,529,45
3,1,0.33,44212,631,275,17,43042,640,281,17,37751,1357,341,24,34932,1504,423,42
